description,industry,level,size,line_code,value,status,Unit,Footnotes
Process improvement developed by business in partnership,Mining,1,total,B0902,18,,Number of businesses,1 and 2 and 3 and 5 and 6
Process improvement developed by business in partnership,Manufacturing,1,total,B0902,915,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,"Food, beverage, & tobacco",2,total,B0902,264,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,"Textile, clothing, footwear, & leather",2,total,B0902,27,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Wood & paper product,2,total,B0902,78,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,"Printing, publishing, & recorded media",2,total,B0902,12,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,"Petroleum, coal, chemical, & associated product",2,total,B0902,102,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Non-metallic mineral product,2,total,B0902,39,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Metal product,2,total,B0902,150,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Transport and industrial machinery & equipment,2,total,B0902,126,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Other machinery & equipment,2,total,B0902,54,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Other manufacturing,2,total,B0902,63,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,"Electricity, gas, water, & waste services",1,total,B0902,42,,Number of businesses,1 and 2 and 3 and 5 and 6
Process improvement developed by business in partnership,Construction,1,total,B0902,837,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Wholesale trade,1,total,B0902,684,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Machinery & equipment wholesaling,2,total,B0902,213,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Other wholesale trade,2,total,B0902,471,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Retail trade,1,total,B0902,732,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Accommodation & food services,1,total,B0902,672,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,"Transport, postal, & warehousing",1,total,B0902,201,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Information media & telecommunications,1,total,B0902,81,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Publishing,2,total,B0902,30,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Motion picture,2,total,B0902,21,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Telecommunications,2,total,B0902,30,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Financial & insurance services,1,total,B0902,204,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Finance,2,total,B0902,69,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Insurance,2,total,B0902,15,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Auxiliary,2,total,B0902,123,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,"Rental, hiring, & real estate services",1,total,B0902,204,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,"Professional, scientific, & technical services",1,total,B0902,753,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Computer systems design,2,total,B0902,138,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Other professional scientific,2,total,B0902,615,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Administrative & support services,1,total,B0902,423,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Education & training,1,total,B0902,141,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Health care & social assistance,1,total,B0902,522,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Arts & recreation services,1,total,B0902,84,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Other services,1,total,B0902,156,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,total,0,total,B0902,6915,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,total,0,6–19 employees,B0903,3627,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement obtained from others and improved,total,0,20–49 employees,B0903,1191,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement obtained from others and improved,total,0,50–99 employees,B0903,324,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement obtained from others and improved,total,0,100+ employees,B0903,261,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement obtained from others and improved,"Agriculture, forestry, & fishing",1,total,B0903,501,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Agriculture,2,total,B0903,348,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Commercial fishing,2,total,B0903,9,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Forestry & logging,2,total,B0903,27,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,"Agriculture, forestry, & fishing support services",2,total,B0903,117,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Mining,1,total,B0903,12,,Number of businesses,1 and 2 and 3 and 5 and 6
Process improvement obtained from others and improved,Manufacturing,1,total,B0903,576,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,"Food, beverage, & tobacco",2,total,B0903,162,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,"Textile, clothing, footwear, & leather",2,total,B0903,18,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Wood & paper product,2,total,B0903,51,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,"Printing, publishing, & recorded media",2,total,B0903,12,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,"Petroleum, coal, chemical, & associated product",2,total,B0903,51,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Non-metallic mineral product,2,total,B0903,24,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Metal product,2,total,B0903,87,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Transport and industrial machinery & equipment,2,total,B0903,87,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Other machinery & equipment,2,total,B0903,36,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Other manufacturing,2,total,B0903,48,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,"Electricity, gas, water, & waste services",1,total,B0903,36,,Number of businesses,1 and 2 and 3 and 5 and 6
Process improvement obtained from others and improved,Construction,1,total,B0903,1008,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Wholesale trade,1,total,B0903,291,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Machinery & equipment wholesaling,2,total,B0903,78,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Other wholesale trade,2,total,B0903,210,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Retail trade,1,total,B0903,330,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Accommodation & food services,1,total,B0903,519,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,"Transport, postal, & warehousing",1,total,B0903,189,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Information media & telecommunications,1,total,B0903,30,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Publishing,2,total,B0903,12,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Motion picture,2,total,B0903,6,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Telecommunications,2,total,B0903,12,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Financial & insurance services,1,total,B0903,96,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Finance,2,total,B0903,27,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Insurance,2,total,B0903,6,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Auxiliary,2,total,B0903,66,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,"Rental, hiring, & real estate services",1,total,B0903,135,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,"Professional, scientific, & technical services",1,total,B0903,681,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Computer systems design,2,total,B0903,72,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Other professional scientific,2,total,B0903,609,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Administrative & support services,1,total,B0903,216,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Education & training,1,total,B0903,111,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Health care & social assistance,1,total,B0903,357,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Arts & recreation services,1,total,B0903,69,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,Other services,1,total,B0903,240,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others and improved,total,0,total,B0903,5403,,Number of businesses,1 and 2 and 3 and 6
Process improvement obtained from others without significant improvements,total,0,6–19 employees,B0904,3054,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement obtained from others without significant improvements,total,0,20–49 employees,B0904,1029,,Number of businesses,1 and 2 and 3 and 4 and 6
